age_part,sex_part,age_cnt,sex_cnt,y,n,y_grp,s,m
1,M,22,M,3.0,6.0,52.0,0.05454545454545454,9.166666666666668
1,M,22,F,1.0,6.0,52.0,0.018867924528301886,8.833333333333334
1,M,23,M,1.0,6.0,52.0,0.018867924528301886,8.833333333333334
1,M,23,F,5.0,6.0,52.0,0.08771929824561403,9.500000000000002
1,M,24,M,3.0,6.0,52.0,0.05454545454545454,9.166666666666668
1,M,24,F,1.0,6.0,52.0,0.018867924528301886,8.833333333333334
1,M,25,M,1.0,6.0,52.0,0.018867924528301886,8.833333333333334
1,M,25,F,0.0,6.0,52.0,1.0,0.0
1,M,26,M,1.0,6.0,52.0,0.018867924528301886,8.833333333333334
1,M,26,F,3.0,6.0,52.0,0.05454545454545454,9.166666666666668
1,M,27,M,0.0,6.0,52.0,1.0,0.0
1,M,27,F,2.0,6.0,52.0,0.037037037037037035,9.0
1,M,28,M,0.0,6.0,52.0,1.0,0.0
1,M,28,F,1.0,6.0,52.0,0.018867924528301886,8.833333333333334
1,M,29,M,0.0,6.0,52.0,1.0,0.0
1,M,29,F,2.0,6.0,52.0,0.037037037037037035,9.0
1,M,30,M,2.0,6.0,52.0,0.037037037037037035,9.0
1,M,30,F,1.0,6.0,52.0,0.018867924528301886,8.833333333333334
1,M,31,M,1.0,6.0,52.0,0.018867924528301886,8.833333333333334
1,M,31,F,0.0,6.0,52.0,1.0,0.0
1,M,32,M,3.0,6.0,52.0,0.05454545454545454,9.166666666666668
1,M,32,F,0.0,6.0,52.0,1.0,0.0
1,M,33,M,1.0,6.0,52.0,0.018867924528301886,8.833333333333334
1,M,33,F,0.0,6.0,52.0,1.0,0.0
1,M,34,M,0.0,6.0,52.0,1.0,0.0
1,M,34,F,1.0,6.0,52.0,0.018867924528301886,8.833333333333334
1,M,35,M,4.0,6.0,52.0,0.07142857142857142,9.333333333333334
1,M,35,F,1.0,6.0,52.0,0.018867924528301886,8.833333333333334
1,M,36,M,0.0,6.0,52.0,1.0,0.0
1,M,36,F,0.0,6.0,52.0,1.0,0.0
1,M,37,M,2.0,6.0,52.0,0.037037037037037035,9.0
1,M,37,F,1.0,6.0,52.0,0.018867924528301886,8.833333333333334
1,M,38,M,0.0,6.0,52.0,1.0,0.0
1,M,38,F,1.0,6.0,52.0,0.018867924528301886,8.833333333333334
1,M,39,M,0.0,6.0,52.0,1.0,0.0
1,M,39,F,0.0,6.0,52.0,1.0,0.0
1,M,40,M,1.0,6.0,52.0,0.018867924528301886,8.833333333333334
1,M,40,F,0.0,6.0,52.0,1.0,0.0
1,M,41,M,1.0,6.0,52.0,0.018867924528301886,8.833333333333334
1,M,41,F,0.0,6.0,52.0,1.0,0.0
1,M,42,M,0.0,6.0,52.0,1.0,0.0
1,M,42,F,1.0,6.0,52.0,0.018867924528301886,8.833333333333334
1,M,43,M,0.0,6.0,52.0,1.0,0.0
1,M,43,F,0.0,6.0,52.0,1.0,0.0
1,M,44,M,0.0,6.0,52.0,1.0,0.0
1,M,44,F,0.0,6.0,52.0,1.0,0.0
1,M,45,M,0.0,6.0,52.0,1.0,0.0
1,M,45,F,1.0,6.0,52.0,0.018867924528301886,8.833333333333334
1,M,46,M,0.0,6.0,52.0,1.0,0.0
1,M,46,F,0.0,6.0,52.0,1.0,0.0
1,M,47,M,0.0,6.0,52.0,1.0,0.0
1,M,47,F,0.0,6.0,52.0,1.0,0.0
1,M,48,M,0.0,6.0,52.0,1.0,0.0
1,M,48,F,3.0,6.0,52.0,0.05454545454545454,9.166666666666668
1,M,49,M,0.0,6.0,52.0,1.0,0.0
1,M,49,F,0.0,6.0,52.0,1.0,0.0
1,M,50,M,0.0,6.0,52.0,1.0,0.0
1,M,50,F,1.0,6.0,52.0,0.018867924528301886,8.833333333333334
1,M,51,M,0.0,6.0,52.0,1.0,0.0
1,M,51,F,1.0,6.0,52.0,0.018867924528301886,8.833333333333334
1,M,52,M,1.0,6.0,52.0,0.018867924528301886,8.833333333333334
1,M,52,F,0.0,6.0,52.0,1.0,0.0
1,M,53,M,1.0,6.0,52.0,0.018867924528301886,8.833333333333334
1,M,53,F,0.0,6.0,52.0,1.0,0.0
1,M,54,M,2.0,6.0,52.0,0.037037037037037035,9.0
1,M,54,F,0.0,6.0,52.0,1.0,0.0
1,M,55,M,0.0,6.0,52.0,1.0,0.0
1,M,55,F,1.0,6.0,52.0,0.018867924528301886,8.833333333333334
1,M,56,M,1.0,6.0,52.0,0.018867924528301886,8.833333333333334
1,M,56,F,0.0,6.0,52.0,1.0,0.0
1,M,57,M,0.0,6.0,52.0,1.0,0.0
